product_code,product_name_short,es_diferenciado,product_space_cluster_name,reflections_index_z,fitness_index_z,rank_reflections,rank_fitness
2508,Clays,Undifferentiated product,Minerals,-0.7418782426533795,-0.5696698680076007,597,640
2515,Marble,Differentiated product,Minerals,-1.3488639303821586,-0.4966807869504776,741,551
2516,Granite,Differentiated product,Minerals,-1.4559230210168723,-0.6471639759355534,755,753
2517,Gravel,Undifferentiated product,Minerals,-0.6397904737983311,-0.6622370097966608,574,767
2519,Natural magnesia,Undifferentiated product,Minerals,-0.37252557545346904,-0.3501852045935226,510,446
2520,Gypsum,Undifferentiated product,Minerals,-1.2725363295434324,-0.670162847625096,723,777
2523,Cements,Undifferentiated product,Minerals,-1.30534119354833,-0.6869235506323441,733,795
2529,Feldspar,Undifferentiated product,Minerals,-1.4181748914850814,-0.5787933544481649,751,653
2530,Mineral substances n.e.c.,Differentiated product,Minerals,-2.316829520672588,-0.4293945602072458,811,499
2601,Iron ores and concentrates,Undifferentiated product,Minerals,-1.725267483040765,-0.6151525552478144,786,702
2602,Manganese > 47% by weight,Undifferentiated product,Minerals,-2.290179844453017,-0.5801880622048726,810,655
2603,Copper ore,Undifferentiated product,Minerals,-1.9895171264592144,-0.681091813472829,802,786
2604,Nickel ore,Undifferentiated product,Minerals,-1.5632189556802412,-0.4942658457817289,773,549
2605,Cobalt ore,Undifferentiated product,Minerals,-2.375717212776892,-0.5925331823759326,812,672
2606,Aluminum ore,Undifferentiated product,Minerals,-2.235668205843673,-0.6490560600201822,808,756
2607,Lead ore,Undifferentiated product,Minerals,-1.2744666989013065,-0.6306218153293086,724,726
2608,Zinc ore,Undifferentiated product,Minerals,-1.3754206103234723,-0.6151482435080042,746,701
2610,Chromium ore,Undifferentiated product,Minerals,-2.4276216519306693,-0.6422990650945719,814,747
2612,Uranium ore,Undifferentiated product,Minerals,-2.4338418741889782,-0.6417944175259807,815,746
2613,Molybdenum ore,Undifferentiated product,Minerals,-0.7906893808474915,-0.4325490557045299,616,501
2614,Titanium ore,Undifferentiated product,Minerals,-1.5796682484105664,-0.5524529447813744,776,620
2615,Zirconium ore,Undifferentiated product,Minerals,-2.4055019584842787,-0.6862109371151126,813,793
2616,Precious metal ores,Undifferentiated product,Minerals,-1.762978972505706,-0.6661836998207603,788,773
2620,"Slag, ash and residues containing metals",Undifferentiated product,Minerals,-0.6908829154176256,-0.6728084753399012,585,780
2701,Coal,Differentiated product,Minerals,-1.8485710057881772,-0.6036699881260263,794,689
2703,Peat,Differentiated product,Minerals,0.5442243723705795,0.3270021624440579,278,188
2704,Coke,Undifferentiated product,Minerals,-0.5494373223065221,-0.3522033979089654,550,449
2707,Oils etc. from high temperature coal tar,Undifferentiated product,Minerals,0.355301341788334,-0.6484902144401066,336,755
2708,Pitch and pitch coke,Undifferentiated product,Minerals,0.057567512127787,-0.3839456302985718,410,466
2709,"Petroleum oils, crude",Undifferentiated product,Minerals,-1.8534977266407904,-0.7172659975840516,795,816
2710,"Petroleum oils, refined",Undifferentiated product,Minerals,-0.7046018530440152,-0.6848968104376374,591,790
2711,Petroleum gases,Undifferentiated product,Minerals,-1.6421477261849444,-0.7171179273529856,780,815
2712,Petroleum jelly,Undifferentiated product,Minerals,-0.35860441369324864,-0.6166139810841299,509,705
2713,Petroleum coke,Differentiated product,Minerals,-0.6854395887873338,-0.6591742419275016,584,763
